,Name,Latitude,Longitude,numberOfBikes
0,TRG OF-KOLODVORSKA UL.,46.057421,14.510265,10
1,LIDL BEŽIGRAD,46.063797,14.506854,3
2,ŠMARTINSKI PARK,46.065206,14.529911,2
3,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,46.062475,14.524321,8
4,ČRNUČE,46.102446,14.530213,13
5,VILHARJEVA CESTA,46.06005,14.51302,10
6,MASARYKOVA DDC,46.05763,14.514264,16
7,POGAČARJEV TRG-TRŽNICA,46.051093,14.507186,2
8,CANKARJEVA UL.-NAMA,46.052431,14.503257,2
9,ANTONOV TRG,46.041753,14.477016,6
10,PRUŠNIKOVA,46.090608,14.471637,10
11,TEHNOLOŠKI PARK,46.04843,14.461086,8
12,KOSEŠKI BAJER,46.068443,14.470913,11
13,TIVOLI,46.05952,14.4982,12
14,TRŽNICA MOSTE,46.055801,14.534156,9
15,GRUDNOVO NABREŽJE-KARLOVŠKA C.,46.045748,14.506196,3
16,LIDL-LITIJSKA CESTA,46.047689,14.547416,10
17,ŠPORTNI CENTER STOŽICE,46.08259,14.52016,12
18,ŠPICA,46.040213,14.512044,6
19,BAVARSKI DVOR,46.05682,14.50551,0
20,STARA CERKEV,46.06342,14.494588,0
21,SITULA,46.059433,14.52051,11
22,ILIRSKA ULICA,46.053144,14.513479,5
23,LIDL - RUDNIK,46.020012,14.532479,12
24,KOPALIŠČE KOLEZIJA,46.042867,14.495239,3
25,POVŠETOVA - KAJUHOVA,46.051512,14.539272,11
26,DUNAJSKA C.-PS MERCATOR,46.074193,14.511134,7
27,CITYPARK,46.068805,14.546257,7
28,KOPRSKA ULICA,46.033408,14.482468,4
29,LIDL - VOJKOVA CESTA,46.07589,14.52011,17
30,POLJANSKA-POTOČNIKOVA,46.048982,14.522709,5
31,POVŠETOVA-GRABLOVIČEVA,46.051863,14.530349,9
32,PARK NAVJE-ŽELEZNA CESTA,46.06361,14.51315,15
33,ZALOG,46.06043,14.613797,13
34,CESTA NA ROŽNIK,46.053241,14.486206,2
35,HOFER-KAJUHOVA,46.056405,14.540901,12
36,STUDENEC,46.054615,14.576031,10
37,PARKIRIŠČE NUK 2-FF,46.046377,14.501256,1
38,BRATOVŠEVA PLOŠČAD,46.08929,14.513751,5
39,KONGRESNI TRG-ŠUBIČEVA ULICA,46.050388,14.504623,1
40,BS4-STOŽICE,46.086761,14.514151,10
41,GERBIČEVA - ŠPORTNI PARK SVOBODA,46.039384,14.485458,11
42,ŽIVALSKI VRT,46.052454,14.472149,17
43,BTC CITY/DVORANA A,46.065297,14.543996,8
44,TRNOVO,46.03784,14.50001,11
45,P+R BARJE,46.02749,14.49958,11
46,ROŽNA DOLINA-ŠKRABČEVA UL.,46.051439,14.49273,2
47,KINO ŠIŠKA,46.06928,14.48971,10
48,BRODARJEV TRG,46.054398,14.553319,9
49,ZALOŠKA C.-GRABLOVIČEVA C.,46.05441,14.52978,10
50,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,46.053047,14.545125,10
51,SOSESKA NOVO BRDO,46.045617,14.462281,11
52,TRŽNICA KOSEZE,46.074315,14.475483,9
53,ALEJA - CELOVŠKA CESTA,46.077302,14.482581,3
54,MERCATOR CENTER ŠIŠKA,46.087079,14.475439,9
55,GH ŠENTPETER-NJEGOŠEVA C.,46.05257,14.51928,5
56,VIŠKO POLJE,46.046189,14.469037,12
57,BONIFACIJA,46.039641,14.472664,4
58,P + R DOLGI MOST,46.037003,14.465229,7
59,DRAVLJE,46.07984,14.479952,7
60,POLJE,46.05722,14.583537,2
61,SREDNJA FRIZERSKA ŠOLA,46.080522,14.491439,9
62,TRG MDB,46.047565,14.495687,4
63,TRŽAŠKA C.-ILIRIJA,46.044629,14.486699,7
64,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,46.051367,14.506542,9
65,MERCATOR MARKET - CELOVŠKA C. 163,46.073264,14.485942,1
66,SAVSKO NASELJE 2-LINHARTOVA CESTA,46.064546,14.518013,12
67,BREG,46.046498,14.505148,9
68,BTC CITY ATLANTIS,46.063081,14.547851,17
69,IKEA,46.065175,14.539537,7
70,MIKLOŠIČEV PARK,46.054168,14.50706,13
71,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,46.04081,14.49951,1
72,AMBROŽEV TRG,46.049877,14.516308,1
73,VOJKOVA - GASILSKA BRIGADA,46.068727,14.516858,1
74,RAKOVNIK,46.036284,14.522948,5
75,PREGLOV TRG,46.054554,14.55908,5
76,PLEČNIKOV STADION,46.06942,14.51052,18
77,DOLENJSKA C. - STRELIŠČE,46.038866,14.517605,14
78,DUNAJSKA C.-PS PETROL,46.065136,14.509112,5
79,ROŠKA - STRELIŠKA,46.045,14.51846,0
80,VOKA - SLOVENČEVA,46.075207,14.504734,6
81,SUPERNOVA LJUBLJANA - RUDNIK,46.021586,14.536745,9
82,LEK - VEROVŠKOVA,46.076856,14.500222,8
83,HOFER - POLJE,46.053718,14.589284,11
